Name,Price,Link
SCD40,$19.60,https://www.aliexpress.com/item/1005004251901089.html?spm=a2g0o.productlist.main.1.f0a36940xHZXsd&algo_pvid=10ce4034-62d2-442d-8264-95d3fc0cb1b9&algo_exp_id=10ce4034-62d2-442d-8264-95d3fc0cb1b9-0&pdp_ext_f=%7B%22order%22%3A%222300%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.74%2119.60%21%21%2119.74%2119.60%21%40211b65de17805964801466667e7a3b%2112000028526792982%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895%3BpisId%3A5000000208122348&curPageLogUid=Gt4emBnw6aWf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004251901089%7C_p_origin_prod%3A
ICS-43434,$3.43,https://www.aliexpress.com/item/1005009682961260.html?spm=a2g0o.productlist.main.1.46626a32kvCDHV&algo_pvid=305191e5-e603-49bc-bde6-89f0ed3f54c3&algo_exp_id=305191e5-e603-49bc-bde6-89f0ed3f54c3-0&pdp_ext_f=%7B%22order%22%3A%22159%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.44%213.43%21%21%213.44%213.43%21%40211b61bb17805966838927911ebdbf%2112000049849967017%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895%3BpisId%3A5000000206380079&curPageLogUid=vnISMVQXcKGG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009682961260%7C_p_origin_prod%3A
MAX98357A Audio Amplifier,$1.32,https://www.aliexpress.com/item/1005007003802663.html?spm=a2g0o.productlist.main.4.54db3ed2ICoh6i&aem_p4p_detail=20260604111212187207446575000000636222&algo_pvid=8bf1989e-f7b9-4b21-9828-e25bebf76112&algo_exp_id=8bf1989e-f7b9-4b21-9828-e25bebf76112-3&pdp_ext_f=%7B%22order%22%3A%221952%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.32%211.32%21%21%218.92%218.92%21%402103864c17805967319468117e6fd4%2112000052658790894%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=jVDx2fWExivP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007003802663%7C_p_origin_prod%3A&search_p4p_id=20260604111212187207446575000000636222_1
MCP23017,$1.81,https://www.aliexpress.com/item/1005007892385986.html?spm=a2g0o.productlist.main.1.19ce148db0NMy5&algo_pvid=4fb0fba9-8dfa-42e5-b338-c460bbb00062&algo_exp_id=4fb0fba9-8dfa-42e5-b338-c460bbb00062-0&pdp_ext_f=%7B%22order%22%3A%2242%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.81%211.36%21%21%211.81%211.36%21%4021039a5b17805968783535429ee609%2112000042742577366%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=5EILj2DePQUk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007892385986%7C_p_origin_prod%3A
XIAO-ESP32-C6,$7.11,https://www.aliexpress.com/item/1005008233414789.html?spm=a2g0o.productlist.main.1.27176a0bBY3H61&algo_pvid=f83ac481-2e2f-413d-a022-672c46ecc1ce&algo_exp_id=f83ac481-2e2f-413d-a022-672c46ecc1ce-0&pdp_ext_f=%7B%22order%22%3A%2235%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.93%219.29%21%21%2173.66%2162.61%21%402103835c17805969320216431e20c2%2112000058240791932%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=3Z71R6KGLr0g&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008233414789%7C_p_origin_prod%3A
micro-sd card holder,$6.74,https://www.aliexpress.com/item/1005008118445934.html
speaker,$0.82,https://www.lcsc.com/product-detail/C530531.html?s_z=n_q_C530531&globalKeyword=C530531
leds,$2.08,https://www.aliexpress.com/item/1005010643263450.html?spm=a2g0o.productlist.main.1.45a03cdeW0oIiS&algo_pvid=94b74e18-6588-47ce-a564-686ec8469cf2&algo_exp_id=94b74e18-6588-47ce-a564-686ec8469cf2-0&pdp_ext_f=%7B%22order%22%3A%2283%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.33%212.09%21%21%212.33%212.09%21%402103894417805971857632365eb21f%2112000053061696690%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895%3BpisId%3A5000000206380079&curPageLogUid=BF1YAVMOhfXj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010643263450%7C_p_origin_prod%3A
resistors - 15r,$2.72,https://www.aliexpress.com/item/1005011892468044.html?spm=a2g0o.productlist.main.12.41b923daARaQPN&aem_p4p_detail=202606041121496780005839712470000594265&algo_pvid=64f265c9-0491-439c-a3c9-58f0f91b0dba&algo_exp_id=64f265c9-0491-439c-a3c9-58f0f91b0dba-11&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.72%212.04%21%21%2118.36%2113.77%21%40211b815c17805973094471622ed14f%2112000056918522770%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=lUmGxkF3KGzQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011892468044%7C_p_origin_prod%3A&search_p4p_id=202606041121496780005839712470000594265_3
resistors - 10k,$2.72,https://www.aliexpress.com/item/1005011892468044.html?spm=a2g0o.productlist.main.12.41b923daARaQPN&aem_p4p_detail=202606041121496780005839712470000594265&algo_pvid=64f265c9-0491-439c-a3c9-58f0f91b0dba&algo_exp_id=64f265c9-0491-439c-a3c9-58f0f91b0dba-11&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.72%212.04%21%21%2118.36%2113.77%21%40211b815c17805973094471622ed14f%2112000056918522770%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=lUmGxkF3KGzQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011892468044%7C_p_origin_prod%3A&search_p4p_id=202606041121496780005839712470000594265_3
